id,registry,is_resolved,iv_version,identification_step,is_dupe,iv_completion,iv_status,iv_interventional,has_german_umc_lead,lead_cities,facility_cities,center_size,main_sponsor,study_type,intervention_type,phase,enrollment,recruitment_status,masking,allocation,is_randomized,is_multicentric,is_prospective,has_summary_results,registration_date,start_date,completion_date,completion_year,primary_completion_date,primary_completion_year,summary_results_date_all,summary_results_date,days_cd_to_summary,days_pcd_to_summary,days_reg_to_start,days_reg_to_cd,days_reg_to_pcd,days_cd_to_publication,days_pcd_to_publication,days_reg_to_publication,doi,pmid,url,publication_date,has_publication,has_pmid,has_pubmed,has_ft_pdf,ft_pdf_doi,ft_pdf_pmid,has_iv_trn_abstract,has_iv_trn_secondary_id,has_iv_trn_ft_pdf,has_reg_pub_link,pmid_link,doi_link,reference_derived,n_crossreg_secondary_id,n_crossreg_abstract,n_crossreg_ft_pdf,n_crossreg_reg,crossreg_trn,crossreg_registry,is_not_iv1_dupe,has_doi,summary_results_date_drks,color,issn,journal,publisher,date,color_green_only,can_archive,archiving_locations,inst_repository,versions,submitted_version,accepted_version,published_version,licenses_required,permission_issuer,embargo,date_embargo_elapsed,is_embargo_elapsed,permission_accepted,permission_published
NCT00056134,ClinicalTrials.gov,True,1,Registry linked,False,True,True,True,True,Erlangen,,large,Other,Interventional,Biological,Phase 1/Phase 2,23.0,Completed,None (Open Label),,,False,False,False,2003-03-06,2002-10-01,2012-05-01,2012,2011-10-01,2011.0,,,,,-156.0,3344,3131.0,475.0,688.0,3819.0,10.1182/blood-2012-09-456988,23958949.0,http://www.bloodjournal.org/content/122/13/2185.long?sso-checked=true,2013-08-19,True,True,True,True,True,False,False,True,True,True,True,True,True,0.0,0.0,1.0,0,,,True,True,,closed,"0006-4971,1528-0020",Blood,American Society of Hematology,2013-09-26,closed,True,['institutional repository'],True,"['publishedVersion', 'acceptedVersion']",False,True,True,[],journal,12.0,2014-09-26,True,True,True
NCT00094497,ClinicalTrials.gov,True,1,Registry linked,False,True,True,True,True,Würzburg,Berlin Düsseldorf Duisburg Hannover Magdeburg LMU_München,small,Other,Interventional,Drug,Phase 3,304.0,Completed,None (Open Label),Randomized,True,True,False,True,2004-10-19,2004-06-01,2010-12-01,2010,2010-12-01,2010.0,2016-09-19,2016-09-19,2119.0,2119.0,-140.0,2234,2234.0,518.0,518.0,2752.0,10.1056/nejmoa1200966,22551107.0,https://www.ncbi.nlm.nih.gov/pubmed/?term=NCT00094497,2012-05-02,True,True,True,True,True,False,True,True,True,True,True,False,False,0.0,0.0,0.0,1,,,True,True,,green,"0028-4793,1533-4406",New England Journal of Medicine,Massachusetts Medical Society,2012-06-07,green,,,,,,,,,,,,,,
NCT00098137,ClinicalTrials.gov,True,1,Registry linked,False,True,True,True,True,Hamburg,,large,Other,Interventional,Drug,Phase 3,422.0,Completed,Triple,Randomized,True,True,True,False,2004-12-03,2005-01-01,2009-05-01,2009,2009-05-01,2009.0,,,,,29.0,1610,1610.0,950.0,950.0,2560.0,10.1161/circep.111.965178,22157519.0,https://www.ncbi.nlm.nih.gov/pubmed/22157519,2011-12-07,True,True,True,True,True,False,True,True,False,True,True,False,True,0.0,0.0,0.0,0,,,True,True,,bronze,"1941-3149,1941-3084",Circulation: Arrhythmia and Electrophysiology,Ovid Technologies (Wolters Kluwer Health),2012-02-01,bronze,,,,,,,,,,,,,,
NCT00098137,ClinicalTrials.gov,True,1,Registry linked,False,True,True,True,True,Magdeburg,,large,Other,Interventional,Drug,Phase 3,422.0,Completed,Triple,Randomized,True,True,True,False,2004-12-03,2005-01-01,2009-05-01,2009,2009-05-01,2009.0,,,,,29.0,1610,1610.0,950.0,950.0,2560.0,10.1161/circep.111.965178,22157519.0,https://www.ncbi.nlm.nih.gov/pubmed/22157519,2011-12-07,True,True,True,True,True,False,True,True,False,True,True,False,True,0.0,0.0,0.0,0,,,True,True,,bronze,"1941-3149,1941-3084",Circulation: Arrhythmia and Electrophysiology,Ovid Technologies (Wolters Kluwer Health),2012-02-01,bronze,,,,,,,,,,,,,,
NCT00114348,ClinicalTrials.gov,True,1,Registry linked,False,True,True,True,True,Berlin,,large,Other,Interventional,Procedure,Phase 4,338.0,Completed,None (Open Label),Randomized,True,False,False,False,2005-06-14,2003-08-01,2012-07-01,2012,2012-07-01,2012.0,,,,,-683.0,2574,2574.0,351.0,351.0,2925.0,10.1200/jco.2012.48.5680,23775972.0,https://www.ncbi.nlm.nih.gov/pubmed/23775972?dopt=Abstract,2013-06-17,True,True,True,True,True,False,False,True,False,True,True,False,True,0.0,0.0,0.0,0,,,True,True,,closed,"0732-183X,1527-7755",Journal of Clinical Oncology,American Society of Clinical Oncology (ASCO),2013-07-20,closed,True,['institutional repository'],True,"['publishedVersion', 'acceptedVersion']",False,True,True,[{'type': 'other-closed'}],publisher,12.0,2014-07-20,True,True,True
NCT00115518,ClinicalTrials.gov,True,1,Registry linked,False,True,True,True,True,Heidelberg,,large,Other,Interventional,Drug,Phase 2,30.0,Completed,None (Open Label),Non-Randomized,False,False,False,False,2005-06-22,2005-05-01,2010-08-01,2010,2009-06-01,2009.0,,,,,-52.0,1866,1440.0,176.0,602.0,2042.0,10.1002/cncr.25888,21264838.0,http://onlinelibrary.wiley.com/doi/10.1002/cncr.25888/full,2011-01-24,True,True,True,True,True,False,False,False,False,True,True,True,False,0.0,0.0,0.0,0,,,True,True,,bronze,0008-543X,Cancer,Wiley,2011-01-24,bronze,,,,,,,,,,,,,,
NCT00122031,ClinicalTrials.gov,True,1,Registry linked,False,True,True,True,True,Bonn,,large,Other,Interventional,Device,Phase 1,13.0,Completed,None (Open Label),,,False,True,False,2005-07-15,2005-07-01,2011-01-01,2011,2009-04-01,2009.0,,,,,-14.0,1996,1356.0,188.0,828.0,2184.0,10.3109/15622975.2011.583940,21736514.0,http://www.tandfonline.com/doi/full/10.3109/15622975.2011.583940,2011-07-08,True,True,True,True,True,False,False,True,False,True,True,True,True,0.0,0.0,0.0,0,,,True,True,,closed,"1562-2975,1814-1412",The World Journal of Biological Psychiatry,Informa UK Limited,2011-07-08,closed,True,['institutional repository'],True,['acceptedVersion'],False,True,False,[],journal,12.0,2012-10-01,True,True,False
NCT00122031,ClinicalTrials.gov,True,1,Registry linked,False,True,True,True,True,Köln,,large,Other,Interventional,Device,Phase 1,13.0,Completed,None (Open Label),,,False,True,False,2005-07-15,2005-07-01,2011-01-01,2011,2009-04-01,2009.0,,,,,-14.0,1996,1356.0,188.0,828.0,2184.0,10.3109/15622975.2011.583940,21736514.0,http://www.tandfonline.com/doi/full/10.3109/15622975.2011.583940,2011-07-08,True,True,True,True,True,False,False,True,False,True,True,True,True,0.0,0.0,0.0,0,,,True,True,,closed,"1562-2975,1814-1412",The World Journal of Biological Psychiatry,Informa UK Limited,2011-07-08,closed,True,['institutional repository'],True,['acceptedVersion'],False,True,False,[],journal,12.0,2012-10-01,True,True,False
NCT00136188,ClinicalTrials.gov,True,1,Registry linked,False,True,True,True,True,Erlangen,,large,Other,Interventional,Drug,Phase 2/Phase 3,100.0,Completed,Double,,,False,True,False,2005-08-25,2009-08-01,2011-12-01,2011,2011-12-01,2011.0,,,,,1437.0,2289,2289.0,-303.0,-303.0,1986.0,10.2337/db09-1630,21270268.0,http://diabetes.diabetesjournals.org/content/60/2/572.long,2011-02-01,True,True,True,True,True,False,False,True,True,True,True,True,True,0.0,0.0,0.0,0,,,True,True,,hybrid,"0012-1797,1939-327X",Diabetes,American Diabetes Association,2011-01-26,hybrid,,,,,,,,,,,,,,
NCT00150878,ClinicalTrials.gov,True,1,Registry linked,False,True,True,True,True,Dresden,,large,Other,Interventional,Other,Phase 3,198.0,Terminated,None (Open Label),Randomized,True,False,False,False,2005-09-06,2003-12-01,2010-12-01,2010,2009-12-01,2009.0,,,,,-645.0,1912,1547.0,646.0,1011.0,2558.0,10.1016/s1470-2045(12)70349-2,22959335.0,https://www.ncbi.nlm.nih.gov/pubmed/22959335?dopt=Abstract,2012-09-07,True,True,True,True,True,False,True,True,True,True,True,False,True,0.0,0.0,0.0,0,,,True,True,,closed,1470-2045,The Lancet Oncology,Elsevier BV,2012-10-01,closed,,,,,,,,,,,,,,
