id,cities,registration_date,start_date,days_reg_to_start,is_prospective,start_2006_2018,iv_status,recruitment_status,iv_interventional,study_type
NCT00136188,Erlangen,2005-08-25,2009-08-01T00:00:00Z,1437,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT00137124,Erlangen,2005-08-26,2006-05-01T00:00:00Z,248,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT00138944,Erlangen,2005-08-29,2007-01-01T00:00:00Z,490,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT00146471,Berlin,2005-09-06,2006-01-01T00:00:00Z,117,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT00150839,Erlangen,2005-09-06,2006-03-01T00:00:00Z,176,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT00152698,Erlangen,2005-09-08,2009-11-01T00:00:00Z,1515,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT00204516,Tübingen,2005-09-13,2007-04-01T00:00:00Z,565,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT00237978,Dresden,2005-10-12,2006-09-01T00:00:00Z,324,TRUE,TRUE,TRUE,Unknown status,TRUE,Interventional
NCT00243607,Berlin Heidelberg,2005-10-21,2006-05-01T00:00:00Z,192,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT00262119,Frankfurt Marburg,2005-12-04,2006-02-01T00:00:00Z,59,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT00267839,Erlangen,2005-12-20,2006-01-01T00:00:00Z,12,TRUE,TRUE,TRUE,Terminated,TRUE,Interventional
NCT00268138,Berlin,2005-12-21,2006-04-01T00:00:00Z,101,TRUE,TRUE,TRUE,Unknown status,TRUE,Interventional
NCT00271713,Berlin,2006-01-03,2006-03-01T00:00:00Z,57,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT00281515,Düsseldorf,2006-01-24,2006-01-01T00:00:00Z,-23,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT00284687,Erlangen,2006-01-31,2006-07-01T00:00:00Z,151,TRUE,TRUE,TRUE,Completed,TRUE,Interventional
NCT00289510,Berlin Hamburg Mainz,2006-02-09,2006-01-01T00:00:00Z,-39,FALSE,TRUE,TRUE,Completed,TRUE,Interventional
