id,pmid,doi,url,has_summary_results,days_to_publication,days_to_summary,days_reg_to_start,days_reg_to_compl,days_reg_to_publ,is_c_tgov,recruitment_status,is_multicentric,phase,main_sponsor,intervention_type,completion_date,publication_date,enrollment,masking,allocation,start_date,lead_cities,has_publication,has_german_umc_lead,intovalue,is_dupe,has_pmid,has_trn_abstract,has_trn_ft_pmc,has_trn_ft_pdf,has_trn_secondary_id,has_trn_intovalue,has_trn_any,pmcid,has_pubmed,has_queried_pmcid,has_queried_doi,has_ft_pmc,has_ft_pdf,is_resolved,has_reg_pub_link,reference_type
NCT00089804,NA,NA,NA,FALSE,NA,NA,49,1633,NA,TRUE,Terminated,TRUE,Phase 3,Industry,Drug,2009-02-01,NA,943,Double Blind,Randomized,2004-10-01,NA,FALSE,FALSE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00125567,NA,NA,NA,FALSE,NA,NA,3,1311,NA,TRUE,Completed,TRUE,Phase 4,Industry,Drug,2009-03-01,NA,223,Double Blind,Randomized,2005-08-01,NA,FALSE,FALSE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00125606,NA,NA,NA,FALSE,NA,NA,-298,2166,NA,TRUE,Terminated,FALSE,Phase 3,Other,Procedure,2011-07-01,NA,30,Open Label,Randomized,2004-10-01,LMU München Münster,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00126321,NA,NA,NA,FALSE,NA,NA,-274,2037,NA,TRUE,Unknown status,FALSE,Phase 2,Other,Drug,2011-03-01,NA,50,Open Label,Non-Randomized,2004-11-01,Bonn,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00132210,NA,NA,NA,FALSE,NA,NA,-1081,1749,NA,TRUE,Completed,TRUE,Phase 4,Other,Drug,2010-06-01,NA,200,Open Label,Non-Randomized,2002-09-01,Bonn,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00137124,NA,NA,NA,FALSE,NA,NA,248,1558,NA,TRUE,Completed,FALSE,Phase 2/Phase 3,Other,Drug,2009-12-01,NA,120,Double Blind,Randomized,2006-05-01,Erlangen,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00148876,NA,NA,NA,FALSE,NA,NA,-737,1942,NA,TRUE,Completed,FALSE,Phase 3,Other,Drug,2011-01-01,NA,482,Open Label,Randomized,2003-09-01,NA,FALSE,FALSE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00150839,NA,NA,NA,FALSE,NA,NA,176,1547,NA,TRUE,Unknown status,FALSE,Phase 4,Other,Drug,2009-12-01,NA,80,Double Blind,Randomized,2006-03-01,Erlangen,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00151892,NA,NA,NA,TRUE,NA,329,-159,1485,NA,TRUE,Completed,TRUE,Phase 3,Industry,Drug,2009-10-01,NA,829,"Participant, Care Provider, Investigator, Outcomes Assessor",Randomized,2005-04-01,NA,FALSE,FALSE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NCT00156338,NA,NA,NA,FALSE,NA,NA,-69,1910,NA,TRUE,Completed,TRUE,Not given,Other,Procedure,2010-12-01,NA,108,Single Blind,Randomized,2005-07-01,Münster,FALSE,TRUE,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
