id,registry,lead_cities,has_publication,doi,pmid,url,publication_date,identification_step,publication_type,is_prospective,has_summary_results,summary_results_date,registration_date,start_date,completion_date,completion_year,primary_completion_date,primary_completion_year,days_cd_to_publication,days_pcd_to_publication,days_cd_to_summary,days_pcd_to_summary,days_reg_to_start,days_reg_to_cd,days_reg_to_pcd,days_reg_to_publication,recruitment_status,phase,enrollment,is_multicentric,main_sponsor,allocation,is_randomized,masking,intervention_type,center_size,has_german_umc_lead,facility_cities,iv_version,is_dupe
NCT00742495,ClinicalTrials.gov,NA,TRUE,NA,NA,http://www.diss.fu-berlin.de/diss/servlets/MCRFileNodeServlet/FUDISS_derivate_000000019697/Habil_v.Stackelberg.pdf,2016-07-25,Dissertation,dissertation,TRUE,FALSE,NA,2008-08-26,2009-03-01,2010-09-01,2010,2010-09-01,2010,2154,2154,NA,NA,187,736,736,2890,Terminated,Phase 1/Phase 2,2,TRUE,Industry,Randomized,TRUE,Open Label,Drug,No lead center,FALSE,Berlin,1,FALSE
NCT00003636,ClinicalTrials.gov,NA,TRUE,10.1056/nejmoa0908806,20818904,https://www.ncbi.nlm.nih.gov/pubmed/20818904?dopt=Abstract,2010-09-02,Registry linked,journal publication,FALSE,FALSE,NA,1999-11-01,1998-09-01,2009-01-01,2009,2009-01-01,2009,609,609,NA,NA,-426,3349,3349,3958,Completed,Phase 3,704,TRUE,Other,Randomized,TRUE,NA,Drug,No lead center,FALSE,Halle,1,FALSE
NCT00020566,ClinicalTrials.gov,Münster,TRUE,10.1200/jco.2013.54.4833,24982464,https://www.ncbi.nlm.nih.gov/pubmed/24982464?dopt=Abstract,2014-06-30,Registry linked,journal publication,FALSE,FALSE,NA,2001-07-11,2001-02-01,2011-12-01,2011,2011-12-01,2011,942,942,NA,NA,-160,3795,3795,4737,Unknown status,Phase 3,1200,TRUE,Other,Randomized,TRUE,NA,Biological,large,TRUE,NA,1,FALSE
NCT00047112,ClinicalTrials.gov,NA,TRUE,10.1002/bjs.9959,26511668,https://www.ncbi.nlm.nih.gov/pubmed/26511668?dopt=Abstract,2015-10-29,Registry linked,journal publication,FALSE,FALSE,NA,2002-10-03,2002-05-01,2010-09-01,2010,2010-09-01,2010,1884,1884,NA,NA,-155,2890,2890,4774,Completed,Phase 3,195,TRUE,Other,Randomized,TRUE,Open Label,Drug,No lead center,FALSE,Berlin Erlangen Freiburg Hamburg,1,FALSE
NCT00052468,ClinicalTrials.gov,NA,TRUE,10.1186/1471-2407-11-97,21410972,https://bmccancer.biomedcentral.com/articles/10.1186/1471-2407-11-97,2011-03-16,Registry linked,journal publication,FALSE,FALSE,NA,2003-01-24,2002-08-01,2011-01-01,2011,2009-07-01,2009,74,623,NA,NA,-176,2899,2350,2973,Completed,Phase 3,1742,TRUE,Other,Randomized,TRUE,Open Label,Drug,No lead center,FALSE,Duisburg Hannover Schleswig-Holstein Magdeburg LMU_München TU_München Münster Tübingen Ulm,1,FALSE
NCT00056056,ClinicalTrials.gov,NA,TRUE,10.1111/j.1365-2133.2012.11156.x,22924950,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2133.2012.11156.x/abstract,2012-09-01,Registry linked,journal publication,FALSE,FALSE,NA,2003-03-06,2003-01-01,2011-06-01,2011,2010-05-01,2010,458,854,NA,NA,-64,3009,2613,3467,Terminated,Phase 3,93,TRUE,Other,Randomized,TRUE,Open Label,Drug,No lead center,FALSE,Tübingen Würzburg,1,FALSE
NCT00056134,ClinicalTrials.gov,Erlangen,TRUE,10.1182/blood-2012-09-456988,23958949,http://www.bloodjournal.org/content/122/13/2185.long?sso-checked=true,2013-08-19,Registry linked,journal publication,FALSE,FALSE,NA,2003-03-06,2002-10-01,2012-05-01,2012,2011-10-01,2011,475,688,NA,NA,-156,3344,3131,3819,Completed,Phase 1/Phase 2,23,FALSE,Other,Not given,NA,Open Label,Biological,large,TRUE,NA,1,FALSE
NCT00061984,ClinicalTrials.gov,NA,TRUE,10.1016/s1470-2045(14)70063-4,24618336,https://linkinghub.elsevier.com/retrieve/pii/S1470-2045(14)70063-4,2014-03-05,Registry linked,journal publication,FALSE,FALSE,NA,2003-06-05,2003-04-01,2012-07-01,2012,2010-05-01,2010,612,1404,NA,NA,-65,3314,2522,3926,Completed,Phase 3,455,TRUE,Other,Randomized,TRUE,Open Label,Biological,No lead center,FALSE,Dresden Duisburg Hannover Köln Mannheim LMU_München Tübingen,1,FALSE
NCT00074087,ClinicalTrials.gov,NA,TRUE,10.1200/jco.2011.39.8065,23045580,https://www.ncbi.nlm.nih.gov/pubmed/23045580?dopt=Abstract,2012-10-08,Registry linked,journal publication,FALSE,FALSE,NA,2003-12-10,2003-10-01,2010-09-01,2010,2009-07-01,2009,768,1195,NA,NA,-70,2457,2030,3225,Completed,Phase 2,49,TRUE,Other,Not given,NA,Open Label,Drug,No lead center,FALSE,Duisburg Jena Würzburg,1,FALSE
NCT00086580,ClinicalTrials.gov,NA,TRUE,10.1016/s1470-2045(11)70242-x,21992852,https://www.ncbi.nlm.nih.gov/pubmed/21992852?dopt=Abstract,2011-10-10,Registry linked,journal publication,TRUE,TRUE,2011-06-13,2004-07-06,2004-07-01,2010-06-01,2010,2010-06-01,2010,496,496,377,377,-5,2156,2156,2652,Completed,Phase 3,335,TRUE,Industry,Randomized,TRUE,Open Label,Biological,No lead center,FALSE,Berlin Köln,1,FALSE
