doi,syp_response,can_archive,archiving_locations,inst_repository,versions,submitted_version,accepted_version,published_version,licenses_required,permission_issuer,embargo,date_embargo_elapsed,is_embargo_elapsed,permission_accepted,permission_published
10.1002/cncr.28197,no_embargo_info,True,"['Institutional Repository', 'Non-commercial Subject Repository']",True,['acceptedVersion'],False,True,False,[{'type': 'other (non-commercial)'}],Publisher,,,,,
10.1186/s12906-016-1241-7,response,True,['institutional repository'],True,['publishedVersion'],False,False,True,[{'type': 'CC BY'}],Journal,0.0,,True,False,True
10.1038/bjc.2016.82,no_embargo_info,True,['institutional repository'],True,"['submittedVersion', 'acceptedVersion', 'publishedVersion']",True,True,True,[{'type': 'cc-by-nc-sa'}],article,,,,,
10.1111/jocn.12766,response,True,"['Institutional Repository', 'Non-commercial Subject Repository']",True,['acceptedVersion'],False,True,False,[{'type': 'other (non-commercial)'}],journal,12.0,2016-06-01,True,True,False
10.1055/a-0639-5070,response,True,"['Institutional Repository', 'Non-commercial Subject Repository', ' Funder Designated Repository']",True,['acceptedVersion'],False,True,False,[],Publisher,12.0,2020-01-01,True,True,False
10.1186/s13054-014-0582-1,response,True,['institutional repository'],True,['publishedVersion'],False,False,True,"[{'type': 'CC BY'}, {'type': 'CC0'}]",Journal,0.0,,True,False,True
10.1055/s-0033-1344714,no_best_permission,,,,,,,,,,,,,,
10.1038/ajh.2010.29,response,True,"['Institutional Repository', 'Non-commercial Subject Repository']",True,['acceptedVersion'],False,True,False,[],journal,12.0,2011-06-01,True,True,False
10.1186/1471-2253-14-2,response,True,['institutional repository'],True,['publishedVersion'],False,False,True,"[{'type': 'CC BY'}, {'type': 'CC0'}]",Journal,0.0,,True,False,True
10.1016/s1470-2045(15)00159-x,response,True,"['Institutional Repository', 'Non-commercial Subject Repository']",True,"['acceptedVersion', 'submittedVersion']",True,True,False,[{'type': 'cc-by-nc-nd'}],journal,6.0,2016-02-01,True,True,False
10.1161/strokeaha.112.669895,response,True,['Institutional Repository'],True,"['acceptedVersion', 'submittedVersion']",True,True,False,[{'type': 'other-closed'}],Publisher,12.0,2014-01-01,True,True,False
10.1159/000448000,response,True,['Institutional Repository'],True,"['acceptedVersion', 'submittedVersion']",True,True,False,[{'type': 'other (non-commercial)'}],Publisher,12.0,2017-01-01,True,True,False
10.1002/lsm.22041,response,True,"['Institutional Repository', 'Non-commercial Subject Repository']",True,['acceptedVersion'],False,True,False,[{'type': 'other (non-commercial)'}],journal,12.0,2013-06-12,True,True,False
10.1016/s1473-3099(14)70782-0,response,True,"['Institutional Repository', 'Non-commercial Subject Repository']",True,"['acceptedVersion', 'submittedVersion']",True,True,False,[{'type': 'cc-by-nc-nd'}],journal,6.0,2015-01-01,True,True,False
10.1016/j.jamda.2013.05.011,response,True,"['Institutional Repository', 'Non-commercial Subject Repository']",True,"['acceptedVersion', 'submittedVersion']",True,True,False,[{'type': 'cc-by-nc-nd'}],journal,12.0,2014-08-01,True,True,False
10.1186/s40661-017-0040-2,no_embargo_info,True,['institutional repository'],True,"['submittedVersion', 'acceptedVersion', 'publishedVersion']",True,True,True,[{'type': 'cc-by'}],article,,,,,
10.1136/annrheumdis-2011-201067,no_embargo_info,True,['institutional repository'],True,"['submittedVersion', 'acceptedVersion', 'publishedVersion']",True,True,True,[{'type': 'cc-by-nc'}],article,,,,,
10.1111/ddg.12100,response,True,"['Institutional Repository', 'Non-commercial Subject Repository']",True,['acceptedVersion'],False,True,False,[{'type': 'other (non-commercial)'}],journal,12.0,2014-09-01,True,True,False
10.1037/emo0000562,response,True,"['Institutional Repository', 'Non-commercial Subject Repository', ' Funder Designated Repository', ' Preprint Server']",True,"['acceptedVersion', 'submittedVersion']",True,True,False,[{'type': 'other-closed'}],Publisher,12.0,2021-04-01,True,True,False
10.1111/j.1468-3083.2011.04005.x,response,True,"['Institutional Repository', 'Non-commercial Subject Repository']",True,['acceptedVersion'],False,True,False,[{'type': 'other (non-commercial)'}],journal,12.0,2013-01-01,True,True,False
10.1093/neuonc/nov229.01,response,True,"['Institutional Repository', 'Non-commercial Subject Repository']",True,['acceptedVersion'],False,True,False,[],journal,12.0,2016-11-01,True,True,False
10.1016/j.pmedr.2019.100931,response,True,['institutional repository'],True,['publishedVersion'],False,False,True,"[{'type': 'CC BY'}, {'type': 'CC BY-NC-ND'}]",Journal,0.0,,True,False,True
10.1016/j.clnu.2015.07.004,response,True,"['Institutional Repository', 'Non-commercial Subject Repository']",True,"['acceptedVersion', 'submittedVersion']",True,True,False,[{'type': 'cc-by-nc-nd'}],journal,12.0,2017-08-01,True,True,False
10.1016/j.tacc.2018.01.003,response,True,"['Institutional Repository', 'Non-commercial Subject Repository']",True,"['acceptedVersion', 'submittedVersion']",True,True,False,[{'type': 'cc-by-nc-nd'}],journal,12.0,2019-02-01,True,True,False
10.1016/j.antiviral.2011.03.184,response,True,"['Institutional Repository', 'Non-commercial Subject Repository']",True,"['acceptedVersion', 'submittedVersion']",True,True,False,[{'type': 'cc-by-nc-nd'}],journal,12.0,2012-06-01,True,True,False
