doi,color_green_only,color,issn,journal,publisher,publication_date_unpaywall
10.1056/nejmoa0908806,green,green,"0028-4793,1533-4406",New England Journal of Medicine,Massachusetts Medical Society,2010-09-02
10.1200/jco.2013.54.4833,closed,closed,"0732-183X,1527-7755",Journal of Clinical Oncology,American Society of Clinical Oncology (ASCO),2014-08-10
10.1002/bjs.9959,closed,closed,"0007-1323,1365-2168",British Journal of Surgery,Oxford University Press (OUP),2015-10-29
10.1186/1471-2407-11-97,gold,gold,1471-2407,BMC Cancer,Springer Science and Business Media LLC,2011-03-16
10.1111/j.1365-2133.2012.11156.x,closed,closed,0007-0963,British Journal of Dermatology,Wiley,2012-08-27
10.1182/blood-2012-09-456988,closed,closed,"0006-4971,1528-0020",Blood,American Society of Hematology,2013-09-26
10.1016/s1470-2045(14)70063-4,green,green,1470-2045,The Lancet Oncology,Elsevier BV,2014-04-01
10.1200/jco.2011.39.8065,green,green,"0732-183X,1527-7755",Journal of Clinical Oncology,American Society of Clinical Oncology (ASCO),2012-11-20
10.1016/s1470-2045(11)70242-x,closed,closed,1470-2045,The Lancet Oncology,Elsevier BV,2011-12-01
10.1016/s1470-2045(12)70212-7,closed,closed,1470-2045,The Lancet Oncology,Elsevier BV,2012-07-01
10.1056/nejmoa1200966,green,green,"0028-4793,1533-4406",New England Journal of Medicine,Massachusetts Medical Society,2012-06-07
10.1056/nejmoa1003466,green,green,"0028-4793,1533-4406",New England Journal of Medicine,Massachusetts Medical Society,2010-08-19
10.1016/s1470-2045(13)70011-1,closed,closed,1470-2045,The Lancet Oncology,Elsevier BV,2013-03-01
10.1161/circep.111.965178,bronze,bronze,"1941-3149,1941-3084",Circulation: Arrhythmia and Electrophysiology,Ovid Technologies (Wolters Kluwer Health),2012-02-01
10.1182/blood-2013-02-484097,green,green,"0006-4971,1528-0020",Blood,American Society of Hematology,2013-07-04
10.1200/jco.2012.48.5680,closed,closed,"0732-183X,1527-7755",Journal of Clinical Oncology,American Society of Clinical Oncology (ASCO),2013-07-20
10.1002/cncr.25888,bronze,bronze,0008-543X,Cancer,Wiley,2011-01-24
10.1016/j.ejvs.2010.08.026,bronze,bronze,1078-5884,European Journal of Vascular and Endovascular Surgery,Elsevier BV,2011-01-01
10.1161/strokeaha.110.609933,bronze,bronze,"0039-2499,1524-4628",Stroke,Ovid Technologies (Wolters Kluwer Health),2011-06-01
10.1161/circinterventions.111.962324,bronze,bronze,"1941-7640,1941-7632",Circulation: Cardiovascular Interventions,Ovid Technologies (Wolters Kluwer Health),2011-10-01
