doi,color,issn,journal,publisher,publication_date_unpaywall
10.3233/jad-191234,green,"1387-2877,1875-8908",Journal of Alzheimer's Disease,IOS Press,2020-05-05
10.1212/wnl.0000000000001230,closed,"0028-3878,1526-632X",Neurology,Ovid Technologies (Wolters Kluwer Health),2015-01-09
10.1016/j.brs.2016.04.016,closed,1935-861X,Brain Stimulation,Elsevier BV,2016-09-01
10.1016/j.neuroimage.2015.09.050,closed,1053-8119,NeuroImage,Elsevier BV,2016-05-01
10.4049/jimmunol.2000108,bronze,"0022-1767,1550-6606",The Journal of Immunology,The American Association of Immunologists,2020-07-01
10.1093/annonc/mdw418,bronze,0923-7534,Annals of Oncology,Elsevier BV,2016-12-01
10.1007/s00213-020-05691-w,hybrid,"0033-3158,1432-2072",Psychopharmacology,Springer Science and Business Media LLC,2020-11-17
10.1016/j.jaci.2016.03.043,closed,0091-6749,Journal of Allergy and Clinical Immunology,Elsevier BV,2016-09-01
10.2340/00015555-2780,gold,0001-5555,Acta Dermato Venereologica,Medical Journals Sweden AB,2018-01-01
10.1371/journal.pone.0173872,gold,1932-6203,PLOS ONE,Public Library of Science (PLoS),2017-03-21
10.1371/journal.pone.0169620,gold,1932-6203,PLOS ONE,Public Library of Science (PLoS),2017-01-23
10.1093/brain/aww002,bronze,"0006-8950,1460-2156",Brain,Oxford University Press (OUP),2016-02-16
10.1016/j.ijrobp.2015.10.027,closed,0360-3016,International Journal of Radiation Oncology*Biology*Physics,Elsevier BV,2016-02-01
10.1002/ejhf.1053,bronze,1388-9842,European Journal of Heart Failure,Wiley,2018-01-04
10.3390/nu11102319,gold,2072-6643,Nutrients,MDPI AG,2019-09-30
10.1038/s41430-018-0371-z,closed,"0954-3007,1476-5640",European Journal of Clinical Nutrition,Springer Science and Business Media LLC,2018-12-11
10.1097/eja.0000000000000929,closed,0265-0215,European Journal of Anaesthesiology,Ovid Technologies (Wolters Kluwer Health),2019-04-01
10.1016/j.resuscitation.2019.09.020,closed,0300-9572,Resuscitation,Elsevier BV,2019-11-01
10.1016/j.amjcard.2018.07.039,closed,0002-9149,The American Journal of Cardiology,Elsevier BV,2018-11-01
10.1111/iwj.12883,green,1742-4801,International Wound Journal,Wiley,2017-12-26
10.5664/jcsm.7666,green,"1550-9389,1550-9397",Journal of Clinical Sleep Medicine,American Academy of Sleep Medicine (AASM),2019-03-15
10.1016/j.trci.2018.10.002,gold,"2352-8737,2352-8737",Alzheimer's &amp; Dementia: Translational Research &amp; Clinical Interventions,Wiley,2018-01-01
10.1523/jneurosci.0079-17.2017,hybrid,"0270-6474,1529-2401",The Journal of Neuroscience,Society for Neuroscience,2017-03-17
10.1016/j.cortex.2018.09.014,green,0010-9452,Cortex,Elsevier BV,2018-12-01
10.1016/j.ctim.2019.102243,closed,0965-2299,Complementary Therapies in Medicine,Elsevier BV,2020-01-01
10.1111/cen.13447,hybrid,0300-0664,Clinical Endocrinology,Wiley,2017-09-07
10.1111/bjd.18469,hybrid,"0007-0963,1365-2133",British Journal of Dermatology,Oxford University Press (OUP),2019-11-08
10.1186/s12891-016-1208-3,gold,1471-2474,BMC Musculoskeletal Disorders,Springer Science and Business Media LLC,2016-08-18
10.1007/s00406-018-0941-z,closed,"0940-1334,1433-8491",European Archives of Psychiatry and Clinical Neuroscience,Springer Science and Business Media LLC,2018-09-08
10.1016/j.jaad.2019.02.044,hybrid,0190-9622,Journal of the American Academy of Dermatology,Elsevier BV,2019-06-01
10.1016/j.ijnurstu.2016.10.010,closed,0020-7489,International Journal of Nursing Studies,Elsevier BV,2017-01-01
10.1016/j.jpsychires.2016.08.005,closed,0022-3956,Journal of Psychiatric Research,Elsevier BV,2016-12-01
10.1017/s0033291716001379,green,"0033-2917,1469-8978",Psychological Medicine,Cambridge University Press (CUP),2016-06-23
10.3389/fnins.2019.00147,gold,1662-453X,Frontiers in Neuroscience,Frontiers Media SA,2019-03-11
10.1016/s0140-6736(20)30167-7,green,0140-6736,The Lancet,Elsevier BV,2020-05-01
10.1186/s12871-019-0828-1,gold,1471-2253,BMC Anesthesiology,Springer Science and Business Media LLC,2019-08-22
10.1186/s13104-019-4268-2,gold,1756-0500,BMC Research Notes,Springer Science and Business Media LLC,2019-04-25
10.1111/aogs.13213,bronze,0001-6349,Acta Obstetricia et Gynecologica Scandinavica,Wiley,2017-09-21
10.1007/s00280-018-3734-1,closed,"0344-5704,1432-0843",Cancer Chemotherapy and Pharmacology,Springer Science and Business Media LLC,2018-12-08
10.1186/s13613-016-0167-z,gold,2110-5820,Annals of Intensive Care,Springer Science and Business Media LLC,2016-07-21
10.1016/j.nut.2017.08.004,closed,0899-9007,Nutrition,Elsevier BV,2018-02-01
10.1007/s00167-017-4622-7,closed,"0942-2056,1433-7347","Knee Surgery, Sports Traumatology, Arthroscopy",Springer Science and Business Media LLC,2017-06-27
10.1186/s12885-016-2884-y,gold,1471-2407,BMC Cancer,Springer Science and Business Media LLC,2016-11-04
10.1016/j.ijnurstu.2017.02.006,closed,0020-7489,International Journal of Nursing Studies,Elsevier BV,2017-05-01
10.1111/all.13494,closed,"0105-4538,1398-9995",Allergy,Wiley,2018-07-17
10.1016/j.jaci.2017.01.042,bronze,0091-6749,Journal of Allergy and Clinical Immunology,Elsevier BV,2017-09-01
10.1038/npp.2016.170,green,"0893-133X,1740-634X",Neuropsychopharmacology,Springer Science and Business Media LLC,2016-08-24
10.3389/fnagi.2016.00061,gold,1663-4365,Frontiers in Aging Neuroscience,Frontiers Media SA,2016-03-22
10.1186/s12906-018-2187-8,gold,1472-6882,BMC Complementary and Alternative Medicine,Springer Science and Business Media LLC,2018-04-02
10.1016/j.cgh.2018.04.027,hybrid,1542-3565,Clinical Gastroenterology and Hepatology,Elsevier BV,2019-01-01
10.1186/s12885-018-4353-2,gold,1471-2407,BMC Cancer,Springer Science and Business Media LLC,2018-04-27
10.1136/bmj.l5101,hybrid,"0959-8138,1756-1833",BMJ,BMJ,2019-09-18
10.1016/j.janxdis.2019.03.001,closed,0887-6185,Journal of Anxiety Disorders,Elsevier BV,2019-05-01
10.1016/j.jpsychires.2018.03.001,closed,0022-3956,Journal of Psychiatric Research,Elsevier BV,2018-06-01
10.1089/acm.2017.0209,closed,"1075-5535,1557-7708",The Journal of Alternative and Complementary Medicine,Mary Ann Liebert Inc,2018-03-01
10.1002/hbm.23469,green,"1065-9471,1097-0193",Human Brain Mapping,Wiley,2016-11-11
10.1016/j.neuroimage.2016.06.057,closed,1053-8119,NeuroImage,Elsevier BV,2016-11-01
10.1093/neuros/nyx420,hybrid,"0148-396X,1524-4040",Neurosurgery,Ovid Technologies (Wolters Kluwer Health),2017-08-04
10.1111/bcp.12664,green,0306-5251,British Journal of Clinical Pharmacology,Wiley,2015-07-14
10.1016/j.ctim.2017.07.005,closed,0965-2299,Complementary Therapies in Medicine,Elsevier BV,2017-10-01
10.1002/bjs5.81,gold,2474-9842,BJS Open,Oxford University Press (OUP),2018-06-14
10.1523/jneurosci.0260-17.2017,green,"0270-6474,1529-2401",The Journal of Neuroscience,Society for Neuroscience,2017-06-21
10.1007/s10067-016-3360-4,closed,"0770-3198,1434-9949",Clinical Rheumatology,Springer Science and Business Media LLC,2016-07-28
10.1186/s12883-020-01645-z,gold,1471-2377,BMC Neurology,Springer Science and Business Media LLC,2020-03-03
10.1186/1745-6215-14-99,gold,1745-6215,Trials,Springer Science and Business Media LLC,2013-04-11
10.1016/j.jaci.2017.01.043,bronze,0091-6749,Journal of Allergy and Clinical Immunology,Elsevier BV,2017-09-01
10.1002/jcsm.12316,gold,2190-5991,"Journal of Cachexia, Sarcopenia and Muscle",Wiley,2018-09-19
10.1177/2055217320903474,gold,"2055-2173,2055-2173","Multiple Sclerosis Journal - Experimental, Translational and Clinical",SAGE Publications,2020-01-01
10.1186/s12871-019-0689-7,gold,1471-2253,BMC Anesthesiology,Springer Science and Business Media LLC,2019-02-18
10.1186/s12888-017-1579-5,gold,1471-244X,BMC Psychiatry,Springer Science and Business Media LLC,2017-12-01
10.1371/journal.pone.0137824,gold,1932-6203,PLOS ONE,Public Library of Science (PLoS),2015-09-17
10.1016/j.euroneuro.2015.04.002,closed,0924-977X,European Neuropsychopharmacology,Elsevier BV,2015-08-01
10.3389/fneur.2017.00153,gold,1664-2295,Frontiers in Neurology,Frontiers Media SA,2017-04-24
10.1016/j.joca.2018.01.022,hybrid,1063-4584,Osteoarthritis and Cartilage,Elsevier BV,2018-05-01
10.1097/mpg.0000000000001853,green,"0277-2116,1536-4801",Journal of Pediatric Gastroenterology &amp; Nutrition,Ovid Technologies (Wolters Kluwer Health),2018-05-01
10.1016/j.envres.2015.03.021,closed,0013-9351,Environmental Research,Elsevier BV,2015-07-01
10.1016/j.jchf.2015.10.006,bronze,2213-1779,JACC: Heart Failure,Elsevier BV,2016-02-01
10.1007/s00423-016-1436-x,closed,"1435-2443,1435-2451",Langenbeck's Archives of Surgery,Springer Science and Business Media LLC,2016-05-01
10.1016/s1470-2045(18)30372-3,bronze,1470-2045,The Lancet Oncology,Elsevier BV,2018-09-01
10.1200/jco.2015.64.9897,green,"0732-183X,1527-7755",Journal of Clinical Oncology,American Society of Clinical Oncology (ASCO),2016-05-20
10.1093/annonc/mds129,bronze,0923-7534,Annals of Oncology,Elsevier BV,2012-11-01
10.1016/j.jaci.2012.06.047,closed,0091-6749,Journal of Allergy and Clinical Immunology,Elsevier BV,2012-10-01
10.1200/jco.2011.41.1553,closed,"0732-183X,1527-7755",Journal of Clinical Oncology,American Society of Clinical Oncology (ASCO),2013-01-20
10.1200/jco.2016.69.3564,green,"0732-183X,1527-7755",Journal of Clinical Oncology,American Society of Clinical Oncology (ASCO),2017-02-10
10.1186/s12937-018-0419-x,gold,1475-2891,Nutrition Journal,Springer Science and Business Media LLC,2018-11-30
10.1016/s0140-6736(16)31203-x,closed,0140-6736,The Lancet,Elsevier BV,2016-09-01
10.1007/s10549-019-05431-5,closed,"0167-6806,1573-7217",Breast Cancer Research and Treatment,Springer Science and Business Media LLC,2019-09-13
10.1200/jco.2016.67.3301,green,"0732-183X,1527-7755",Journal of Clinical Oncology,American Society of Clinical Oncology (ASCO),2016-12-20
10.1007/s00417-020-04618-7,hybrid,"0721-832X,1435-702X",Graefe's Archive for Clinical and Experimental Ophthalmology,Springer Science and Business Media LLC,2020-02-28
10.3238/arztebl.2016.0525,green,1866-0452,Deutsches Ärzteblatt international,Deutscher Arzte-Verlag GmbH,2016-08-08
10.3238/arztebl.2018.0785,green,1866-0452,Deutsches Ärzteblatt international,Deutscher Arzte-Verlag GmbH,2018-11-23
10.3109/14767058.2014.991917,closed,"1476-7058,1476-4954",The Journal of Maternal-Fetal &amp; Neonatal Medicine,Informa UK Limited,2015-01-09
10.1038/s41598-019-53050-3,gold,2045-2322,Scientific Reports,Springer Science and Business Media LLC,2019-11-14
10.1111/myc.12495,closed,0933-7407,Mycoses,Wiley,2016-03-02
10.1007/s00784-017-2147-6,closed,"1432-6981,1436-3771",Clinical Oral Investigations,Springer Science and Business Media LLC,2017-06-10
10.1177/0194599817711411,closed,"0194-5998,1097-6817",Otolaryngology–Head and Neck Surgery,Wiley,2017-06-06
10.1159/000477355,bronze,"1660-5527,1660-5535",Skin Pharmacology and Physiology,S. Karger AG,2017-01-01
10.1161/circep.117.005925,bronze,"1941-3149,1941-3084",Circulation: Arrhythmia and Electrophysiology,Ovid Technologies (Wolters Kluwer Health),2018-03-01
10.1016/j.cgh.2018.09.032,closed,1542-3565,Clinical Gastroenterology and Hepatology,Elsevier BV,2019-08-01
10.5664/jcsm.6978,green,"1550-9389,1550-9397",Journal of Clinical Sleep Medicine,American Academy of Sleep Medicine (AASM),2018-03-15
10.1097/hjh.0000000000001445,closed,0263-6352,Journal of Hypertension,Ovid Technologies (Wolters Kluwer Health),2017-11-01
10.1002/da.22462,gold,1091-4269,Depression and Anxiety,Hindawi Limited,2015-12-23
10.1016/s2665-9913(19)30018-9,closed,2665-9913,The Lancet Rheumatology,Elsevier BV,2019-09-01
10.1038/nature24628,green,"0028-0836,1476-4687",Nature,Springer Science and Business Media LLC,2017-11-01
10.1016/j.neuroimage.2014.12.073,closed,1053-8119,NeuroImage,Elsevier BV,2015-04-01
10.2340/00015555-2150,gold,0001-5555,Acta Dermato Venereologica,Medical Journals Sweden AB,2016-01-01
10.1016/j.euroneuro.2018.08.507,closed,0924-977X,European Neuropsychopharmacology,Elsevier BV,2018-11-01
